,value6,value3,value17,value7,value14,timestamp,value15,value19,value10,value5,value13,value20,value22,value24,value11,value2,value12,value1,value16,value8,value18,value21,value25,value4,value23,value9
0,0.0,0.0,0.0,0.0,10.0,0.0,1000.0,0.0,0.0,0.0,0.0,1.0,20000.0,0.0,0.0,0.0,0.0,100000000000.0,0.0,0.0,0.0,1000.0,0.0,0.0,1.0,0.0
1,0.0,0.0,0.0,6.798303914452709e-11,9.999999958745063,1.8163888938589466e-06,1000.0,0.0,0.0,6.798303914452709e-11,0.0011838279690550373,1.0,20000.000044291148,0.001627606526415807,0.0,1.0751492774999758e-08,0.0017161030889921184,100000000000.0,0.0,7.485492963179851e-06,0.0,999.9999114177033,1.4781877257982138e-08,1.5585600580864758e-08,1.0,7.485492963179851e-06
2,0.0,0.0,0.0,8.225442683502283e-09,9.999995008493018,1.998027783244841e-05,1000.0,0.0,3.657450349480028e-12,8.225442683502283e-09,0.01302091153105889,1.0,20000.000487199624,0.017902029613311797,0.0,1.3008436272126913e-06,0.018875402512845568,100000000000.0,0.0,8.23328700303805e-05,0.0,999.9990255920621,1.788484361539888e-06,1.8857282074258345e-06,1.0000000000034688,8.23328700303805e-05
3,0.0,0.0,0.0,2.7946994940787276e-07,9.999830414403185,0.00011648279159241927,1000.0,0.0,9.072830229017396e-10,2.7946994940787276e-07,0.07587343002487928,1.0,20000.002839614703,0.10431599515798864,0.0,4.419630714482144e-05,0.10998788627133922,100000000000.0,0.0,0.0004797576139874213,0.0,999.9943186160023,6.076327065365079e-05,6.406710391830549e-05,1.0000000008604888,0.0004797576139874213
4,2.1124728556950247e-09,2.1124728556950247e-09,0.0,1.8428009156880017e-05,9.988816855135708,0.000947660533106255,1000.0,0.0,4.87719389912149e-07,1.8428009156880017e-05,0.6146934605335547,1.0,20000.022720277877,0.845128245740746,0.0,0.0029146831366918674,0.891079735532879,100000000000.0,0.0,0.0038868125334725156,0.0,999.9533973984851,0.004006878113504654,0.004224740928596875,1.0000004625646448,0.0038868125334725156
5,6.080105148042544e-08,6.080105148042544e-08,0.0,0.00017117966396881443,9.896112695441863,0.0029057966403015978,1000.0,0.0,1.3942489094263456e-05,0.00017117966396881443,1.8664697879781686,1.0,20000.059778441107,2.5662170838437057,0.0,0.027080768894792006,2.7057479760212404,100000000000.0,0.0,0.011802238147418594,0.0,999.8472214280313,0.0372204010556269,0.039244156488943055,1.0000132233875554,0.011802238147418594
6,5.675413494941831e-07,5.675413494941831e-07,0.0,0.0007462640049672788,9.54705861819912,0.006158785341389635,1000.0,0.0,0.0001301163317844124,0.0007462640049672788,3.8944882572454853,1.0,20000.046808833824,5.354802950005456,0.0,0.11810229540975842,5.645955416315927,100000000000.0,0.0,0.02462716821666311,0.0,999.5963235112847,0.1622637394672356,0.17108637745778862,1.000123405417054,0.02462716821666311
7,2.709488148991721e-06,2.709488148991721e-06,0.0,0.002047503280053417,8.757127387608675,0.010501425431414118,1000.0,0.0,0.0006211730194654436,0.002047503280053417,6.515898584919031,1.0,19999.762576827292,8.960077371926959,4.42671517330736e-06,0.32419134416419004,9.4472565733888,100000000000.0,0.0,0.04120811445978893,0.0,998.994492591832,0.4451984173536422,0.4694048388448189,1.0005891352332068,0.04120811445978893
8,8.539632110976418e-06,8.539632110976418e-06,0.0,0.004171445226602915,7.467477684747144,0.015709075969978295,1000.0,0.0,0.0019577754253776603,0.004171445226602915,9.567495403689819,1.0,19998.827590959427,13.158909595806525,2.44200603503692e-05,0.6608819358512524,13.874388581409848,100000000000.0,0.0,0.06051888064268862,0.0,997.678603943279,0.9070172708144885,0.9563338036261317,1.0018568006731878,0.06051888064268862
9,2.2750609270346574e-05,2.2750609270346574e-05,0.0,0.007325894193805902,5.551451744621059,0.022514728556619366,1000.0,0.0,0.005215744102200411,0.007325894193805902,13.489645683633983,1.0,19996.404639802022,18.560507265299268,9.850831186038781e-05,1.1616212011620568,19.56968304949125,100000000000.0,0.0,0.08536126158228442,0.0,994.7575099700482,1.5929041930981394,1.6795139131470036,1.0049467354745714,0.08536126158228442
10,4.8651533996230805e-05,4.8651533996230805e-05,0.0,0.01071635393208435,3.490823906886198,0.03038745670535705,1000.0,0.0,0.011153717316973986,0.01071635393208435,18.05698937659024,1.0,19991.877190209867,24.860539935017268,0.000297993204458355,1.701139805533093,26.21226241359751,100000000000.0,0.0,0.11433561714976447,0.0,989.6526896756986,2.3301080657095063,2.45680118895516,1.010578450161555,0.11433561714976447
11,9.299414516592251e-05,9.299414516592251e-05,0.0,0.013774142460718067,1.6298130268825057,0.040329621457230486,1000.0,0.0,0.02131957975485811,0.013774142460718067,23.9983126715469,1.0,19984.037644921475,33.0752538018666,0.0008027939157115391,2.1904246929258524,34.8736284214683,100000000000.0,0.0,0.15211574511652173,0.0,981.0811544950393,2.994977646470346,3.1578211976627704,1.0202199952725222,0.15211574511652173
12,0.0001470274591026025,0.0001470274591026025,0.0,0.015413481285861523,0.628166487382822,0.05061115136343886,1000.0,0.0,0.03370710548682566,0.015413481285861523,30.35600096701641,1.0,19974.436070370197,41.89232317565321,0.0016951577773865953,2.456853940676426,44.17010133592224,100000000000.0,0.0,0.19266615437323947,0.0,970.7181686124209,3.351426925841025,3.5336514118264386,1.0319686185058674,0.19266615437323947
13,0.00019669446801656235,0.00019669446801656235,0.0,0.01599988895751509,0.26581160775923107,0.05951333397924498,1000.0,0.0,0.045093624400272266,0.01599988895751509,35.96847189137496,1.0,19965.59258908774,49.69985528829627,0.0028051082205619387,2.556406482592215,52.40214621805795,100000000000.0,0.0,0.22857362079190416,0.0,961.2113124565165,3.478932349898658,3.668089587477163,1.0427678630727102,0.22857362079190416
14,0.0002458363971323955,0.0002458363971323955,0.0,0.016208489109261027,0.1326821783353247,0.06819328144124562,1000.0,0.0,0.056359764995583435,0.016208489109261027,41.47628026716874,1.0,19956.83489458579,57.38436767191026,0.004199292198023402,2.5962502206382316,60.50448251672007,100000000000.0,0.0,0.2639153096094064,0.0,951.8030271896849,3.5242892784162465,3.7159126724015246,1.0534529379300548,0.2639153096094064
